InvoiceNo,ProductKey,CustomerKey,ReturnDate,ReturnReason,RefundAmount
INV100548,P0003,C0107,2024-01-10,Wrong Item,3573.44
INV100755,P0011,C0097,2024-08-09,Wrong Item,6521.2
INV101284,P0023,C0175,2024-07-15,Late Delivery,12306.62
INV101129,P0017,C0104,2024-11-26,Wrong Item,12938.81
INV101064,P0006,C0071,2024-12-23,Wrong Item,302.89
INV101008,P0022,C0090,2024-12-26,Late Delivery,7759.06
INV100237,P0004,C0145,2024-05-22,Late Delivery,6377.68
INV100409,P0030,C0021,2024-09-15,Damaged,3487.2
INV101054,P0026,C0156,2024-03-17,Defective,1974.01
INV100927,P0003,C0123,2024-07-17,Defective,5196.7
INV100187,P0009,C0082,2024-07-10,Wrong Item,14155.06
INV100920,P0026,C0055,2024-03-16,Defective,4983.4
INV100038,P0008,C0133,2025-01-10,Wrong Item,7878.1
INV100410,P0003,C0136,2024-05-24,Damaged,10604.68
INV101276,P0028,C0120,2024-11-21,Late Delivery,5581.72
INV100676,P0027,C0100,2025-01-03,Late Delivery,14582.37
INV100973,P0023,C0166,2024-11-13,Late Delivery,14444.22
INV100433,P0007,C0093,2024-12-11,Defective,3926.38
INV101080,P0027,C0063,2024-10-05,Damaged,7559.28
INV101022,P0008,C0016,2024-06-24,Defective,4653.0
INV101098,P0006,C0051,2024-03-13,Defective,4415.64
INV100720,P0014,C0088,2024-06-15,Damaged,745.93
INV100109,P0023,C0118,2024-05-14,Damaged,9221.55
INV100683,P0001,C0107,2024-08-24,Damaged,7639.65
INV101216,P0013,C0019,2024-12-04,Damaged,961.89
INV100557,P0032,C0116,2024-07-01,Late Delivery,4323.97
INV100578,P0016,C0126,2024-04-03,Customer Changed Mind,13642.34
INV100919,P0033,C0067,2025-01-11,Customer Changed Mind,3745.52
INV101285,P0011,C0068,2024-11-26,Damaged,2344.44
INV101199,P0031,C0105,2024-12-13,Customer Changed Mind,7443.9
INV100695,P0007,C0117,2024-07-15,Customer Changed Mind,14787.63
INV101135,P0028,C0037,2024-06-01,Damaged,3782.42
INV101265,P0009,C0076,2025-01-05,Customer Changed Mind,10147.61
INV100020,P0026,C0151,2024-08-24,Defective,11471.97
INV100753,P0021,C0046,2024-09-06,Wrong Item,3717.04
INV100532,P0022,C0045,2024-11-08,Wrong Item,10977.6
INV100661,P0020,C0033,2024-03-18,Damaged,5643.19
INV101114,P0015,C0024,2024-08-18,Late Delivery,9558.13
INV100560,P0009,C0175,2024-08-12,Damaged,9576.24
INV101055,P0015,C0092,2025-01-06,Late Delivery,8129.47
INV100004,P0019,C0136,2024-11-13,Wrong Item,1536.29
INV100535,P0009,C0178,2024-09-12,Damaged,12562.48
INV100892,P0014,C0064,2024-12-08,Defective,4947.54
INV100092,P0015,C0023,2024-02-14,Customer Changed Mind,2960.47
INV100454,P0027,C0014,2025-01-13,Late Delivery,803.47
INV101242,P0014,C0038,2024-04-09,Customer Changed Mind,8945.22
INV100168,P0007,C0109,2024-05-03,Customer Changed Mind,10227.95
INV100944,P0025,C0147,2024-12-27,Damaged,445.5
INV100293,P0003,C0028,2024-12-29,Customer Changed Mind,7778.98
INV100081,P0027,C0029,2024-12-19,Defective,3552.14
INV101132,P0011,C0037,2024-03-19,Customer Changed Mind,9748.56
INV100260,P0023,C0172,2024-09-05,Damaged,2780.62
