MonthRegionKey,Region,SalesTarget,OrderTarget
2024-01,North,412300,485
2024-01,South,538817,659
2024-01,East,640657,655
2024-01,West,421357,811
2024-02,North,419370,809
2024-02,South,475825,481
2024-02,East,593969,464
2024-02,West,569616,621
2024-03,North,482290,715
2024-03,South,365862,611
2024-03,East,471669,502
2024-03,West,548583,467
2024-04,North,418849,811
2024-04,South,418438,680
2024-04,East,507029,573
2024-04,West,480063,477
2024-05,North,461767,675
2024-05,South,442411,783
2024-05,East,607980,484
2024-05,West,631487,661
2024-06,North,434909,595
2024-06,South,506369,683
2024-06,East,534624,664
2024-06,West,448593,482
2024-07,North,405123,516
2024-07,South,390106,557
2024-07,East,635006,807
2024-07,West,357516,701
2024-08,North,635490,545
2024-08,South,642343,699
2024-08,East,632898,838
2024-08,West,374896,652
2024-09,North,568206,489
2024-09,South,517221,806
2024-09,East,506661,627
2024-09,West,617731,619
2024-10,North,619274,655
2024-10,South,547503,568
2024-10,East,535408,671
2024-10,West,520972,812
2024-11,North,505426,490
2024-11,South,624142,464
2024-11,East,436637,771
2024-11,West,638869,798
2024-12,North,623811,540
2024-12,South,527517,521
2024-12,East,389859,537
2024-12,West,624365,810
2025-01,North,633269,645
2025-01,South,576907,749
2025-01,East,371759,611
2025-01,West,492873,649
2025-02,North,625760,839
2025-02,South,512614,539
2025-02,East,631467,706
2025-02,West,431956,804
2025-03,North,629243,596
2025-03,South,585409,468
2025-03,East,522143,528
2025-03,West,373307,574
2025-04,North,391545,792
2025-04,South,465458,795
2025-04,East,437850,765
2025-04,West,633322,734
2025-05,North,591314,496
2025-05,South,437863,557
2025-05,East,433541,458
2025-05,West,459044,671
2025-06,North,550086,717
2025-06,South,578840,600
2025-06,East,416467,676
2025-06,West,601936,729
2025-07,North,554052,519
2025-07,South,574120,727
2025-07,East,527169,545
2025-07,West,597043,523
2025-08,North,627444,686
2025-08,South,548557,464
2025-08,East,477507,526
2025-08,West,353298,708
2025-09,North,603292,679
2025-09,South,644145,565
2025-09,East,490843,674
2025-09,West,391939,830
2025-10,North,353802,658
2025-10,South,445418,790
2025-10,East,631513,566
2025-10,West,466320,586
2025-11,North,531906,836
2025-11,South,543086,695
2025-11,East,477254,625
2025-11,West,572970,538
2025-12,North,451123,782
2025-12,South,417667,681
2025-12,East,611989,779
2025-12,West,369163,478
