InvoiceNo,OrderDate,CustomerKey,ProductKey,SalespersonKey,Quantity,UnitPrice,DiscountPct,GrossSales,NetSales,PaymentMethod,SalesChannel,OrderStatus,CustomerType
INV200001,19/10/2025,C0077,P0014,S010,5,18086.95,0.05,90434.75,85913.01,UPI ,ONLINE,Completed, repeat 
INV200002,19/09/2025,C0007,P0020,S001,4,539.69,0.0,2158.76,2158.76,UPI,Retail Store,Returned,Returning
INV200003,17/06/2025,C0118,P0026,S010,3,320.43,0.1,961.29,865.16,Wallet,Retail Store,Completed,New
INV200004,12/11/2025,C0028,P0001,S001,10,82882.52,0.0,828825.2,828825.2,Bank Transfer,Online,Completed,Repeat
INV200005,15/07/2025,C0146,P0011,S002,1,7158.64,0.05,7158.64,6800.71,UPI,Retail Store,Completed,New
INV200006,24/05/2025,C0107,P0002,S005,1,82156.45,0.0,82156.45,82156.45,Bank Transfer,Retail Store,Completed,New
INV200007,22/11/2025,C0175,P0002,S008,3,79584.49,0.0,238753.47,238753.47,UPI,Retail Store,Cancelled,Returning
INV200008,13/10/2025,C0070,P0018,S001,10,4889.91,0.1,48899.1,44009.19,UPI,Online,Completed,Repeat
INV200009,14/12/2025,C0097,P0002,S001,8,89329.49,0.1,714635.92,643172.33,Cash,Online,Completed,Returning
INV200010,23/01/2025,C0169,P0005,S005,5,9654.76,0.2,48273.8,38619.04,Bank Transfer,Online,Completed,New
INV200011,01/05/2025,C0177,P0029,S001,1,4733.05,0.15,4733.05,4023.09,Cash,Distributor,Returned,New
INV200012,25/01/2025,C0074,P0024,S002,10,491.3,0.05,4913.0,4667.35,Cash,Distributor,Completed,Repeat
INV200013,04/12/2025,C0096,P0010,S006,6,4991.37,0.1,29948.22,26953.4,Cash,Retail Store,Returned,Repeat
INV200014,30/05/2025,C0038,P0032,S009,7,2796.6,0.05,19576.2,18597.39,Credit Card,Distributor,Completed,New
INV200015,20/06/2025,C0092,P0030,S008,9,1857.46,0.2,16717.14,13373.71,Credit Card,Retail Store,Cancelled,Returning
INV200016,16/03/2025,C0154,P0022,S009,3,387.51,0.15,1162.53,988.15,UPI,Distributor,Returned,New
INV200017,03/08/2025,C0029,P0033,S009,1,706.42,0.15,706.42,600.46,Credit Card,Retail Store,Cancelled,Returning
INV200018,26/03/2025,C0059,P0022,S008,2,426.49,0.05,852.98,810.33,Bank Transfer,Distributor,Returned,Returning
INV200019,03/12/2025,C0101,P0015,S010,6,24090.85,0.2,144545.1,115636.08,Credit Card,Online,Returned,New
INV200020,22/12/2025,C0049,P0001,S009,2,73940.79,0.1,147881.58,133093.42,Credit Card,Distributor,Completed,New
INV200021,27/07/2025,C0078,P0014,S009,2,16805.41,0.0,33610.82,33610.82,Credit Card,Retail Store,Completed,New
INV200022,06/04/2025,C0175,P0005,S002,5,10386.08,0.1,51930.4,46737.36,Cash,Retail Store,Returned,New
INV200023,24/12/2025,C0153,P0020,S006,7,486.47,0.05,3405.29,3235.03,Cash,Distributor,Cancelled,Repeat
INV200024,22/11/2025,C0158,P0003,S008,1,48028.72,0.1,48028.72,43225.85,Credit Card,Retail Store,Returned,Repeat
INV200025,03/10/2025,C0026,P0028,S010,10,5774.02,0.05,57740.2,54853.19,Cash,Online,Returned,New
INV200026,07/09/2025,C0023,P0031,S005,9,939.84,0.0,8458.56,8458.56,Credit Card,Retail Store,Returned,Returning
INV200027,22/06/2025,C0062,P0031,S001,6,1015.51,0.05,6093.06,5788.41,Cash,Online,Cancelled,Repeat
INV200028,18/02/2025,C0003,P0009,S010,1,5309.39,0.15,5309.39,4512.98,Wallet,Online,Returned,Repeat
INV200029,23/12/2025,C0145,P0025,S009,1,418.59,0.05,418.59,397.66,Wallet,Retail Store,Completed,Repeat
INV200030,31/05/2025,C0042,P0003,S005,10,48876.2,0.05,488762.0,464323.9,UPI,Online,Completed,Repeat
INV200031,06/09/2025,C0064,P0001,S007,3,72680.32,0.1,218040.96,196236.86,UPI,Online,Completed,Returning
INV200032,26/10/2025,C0127,P0015,S008,2,23137.99,0.0,46275.98,46275.98,UPI,Distributor,Cancelled,Returning
INV200033,13/01/2025,C0113,P0032,S006,7,2691.18,0.0,18838.26,18838.26,Bank Transfer,Distributor,Cancelled,New
INV200034,03/08/2025,C0122,P0003,S005,7,51054.76,0.15,357383.32,303775.82,Credit Card,Online,Completed,Repeat
INV200035,07/12/2025,C0092,P0031,S007,9,1072.55,0.0,9652.95,9652.95,UPI,Online,Completed,New
INV200036,14/02/2025,C0147,P0012,S004,8,18631.9,0.2,149055.2,119244.16,Bank Transfer,Distributor,Completed,Repeat
INV200037,04/02/2025,C0169,P0012,S010,7,17425.44,0.0,121978.08,121978.08,UPI,Online,Completed,Repeat
INV200038,10/03/2025,C0180,P0026,S001,6,321.97,0.0,1931.82,1931.82,Credit Card,Online,Cancelled,Returning
INV200039,17/05/2025,C0150,P0001,S005,3,83679.91,0.05,251039.73,238487.74,Cash,Online,Completed,Returning
INV200040,01/09/2025,C0123,P0031,S004,2,988.96,0.0,1977.92,1977.92,Wallet,Online,Completed,Returning
INV200041,07/03/2025,C0131,P0010,S002,8,5678.83,0.15,45430.64,38616.04,Credit Card,Distributor,Completed,New
INV200042,17/11/2025,C0106,P0024,S004,5,459.9,0.1,2299.5,2069.55,Cash,Online,Completed,Repeat
INV200043,15/01/2025,C0050,P0024,S007,8,521.39,0.15,4171.12,3545.45,UPI,Distributor,Completed,Repeat
INV200044,11/11/2025,C0131,P0027,S003,4,1905.02,0.15,7620.08,6477.07,Cash,Online,Returned,Returning
INV200045,16/01/2025,C0107,P0005,S009,2,10294.07,0.2,20588.14,16470.51,UPI,Distributor,Completed,Repeat
INV200046,23/05/2025,C0101,P0018,S008,6,5540.16,0.05,33240.96,31578.91,Wallet,Retail Store,Completed,Repeat
INV200047,19/09/2025,C0125,P0025,S010,9,419.88,0.2,3778.92,3023.14,Wallet,Online,Returned,Repeat
INV200048,16/02/2025,C0178,P0032,S006,9,2652.83,0.15,23875.47,20294.15,Credit Card,Retail Store,Completed,Repeat
INV200049,28/05/2025,C0153,P0033,S004,6,803.37,0.05,4820.22,4579.21,Wallet,Online,Completed,Repeat
INV200050,09/04/2025,C0086,P0027,S005,5,1875.43,0.15,9377.15,7970.58,UPI,Distributor,Completed,Returning
INV200051,01/06/2025,C0049,P0024,S009,9,471.36,0.05,4242.24,4030.13,Cash,Distributor,Cancelled,New
INV200052,02/03/2025,C0075,P0016,S004,10,22056.52,0.2,220565.2,176452.16,UPI,Distributor,Returned,Repeat
INV200053,06/05/2025,C0101,P0031,S005,10,1013.06,0.1,10130.6,9117.54,UPI,Retail Store,Cancelled,New
INV200054,10/05/2025,C0032,P0025,S009,7,384.29,0.0,2690.03,2690.03,Bank Transfer,Retail Store,Returned,Returning
INV200055,26/10/2025,C0071,P0033,S010,7,725.96,0.0,5081.72,5081.72,Cash,Distributor,Returned,Returning
INV200056,25/02/2025,C0122,P0028,S007,6,5076.4,0.0,30458.4,30458.4,Credit Card,Retail Store,Completed,New
INV200057,05/02/2025,C0072,P0007,S009,9,27235.18,0.05,245116.62,232860.79,Credit Card,Distributor,Returned,New
INV200058,21/01/2025,C0170,P0004,S001,2,78251.24,0.05,156502.48,148677.36,Bank Transfer,Retail Store,Returned,New
INV200059,29/04/2025,C0057,P0018,S009,6,4964.29,0.0,29785.74,29785.74,Wallet,Distributor,Completed,New
INV200060,29/03/2025,C0099,P0014,S009,10,19515.25,0.0,195152.5,195152.5,Credit Card,Distributor,Cancelled,Repeat
INV200061,06/09/2025,C0032,P0007,S004,7,27766.24,0.0,194363.68,194363.68,Wallet,Online,Completed,New
INV200062,24/05/2025,C0028,P0001,S004,5,79401.11,0.1,397005.55,357304.99,Wallet,Retail Store,Returned,New
INV200063,29/04/2025,C0026,P0006,S007,8,12803.99,0.1,102431.92,92188.73,Cash,Distributor,Returned,New
INV200064,05/10/2025,C0070,P0014,S008,7,17733.32,0.15,124133.24,105513.25,Credit Card,Retail Store,Cancelled,Returning
INV200065,18/07/2025,C0114,P0014,S006,3,16962.16,0.2,50886.48,40709.18,Cash,Online,Returned,New
INV200066,22/04/2025,C0081,P0023,S007,5,83.98,0.0,419.9,419.9,UPI,Retail Store,Cancelled,Repeat
INV200067,13/01/2025,C0176,P0016,S002,8,21954.99,0.2,175639.92,140511.94,Cash,Distributor,Completed,Repeat
INV200068,15/07/2025,C0006,P0032,S007,8,2433.27,0.1,19466.16,17519.54,Bank Transfer,Retail Store,Completed,Repeat
INV200069,07/07/2025,C0067,P0031,S003,3,1064.01,0.0,3192.03,3192.03,Wallet,Distributor,Cancelled,New
INV200070,19/01/2025,C0098,P0024,S001,4,511.15,0.0,2044.6,2044.6,UPI,Online,Cancelled,Returning
INV200071,11/10/2025,C0013,P0017,S002,9,13772.9,0.05,123956.1,117758.29,Bank Transfer,Online,Returned,Repeat
INV200072,06/04/2025,C0059,P0027,S005,3,1766.96,0.15,5300.88,4505.75,Credit Card,Distributor,Completed,Returning
INV200073,02/12/2025,C0046,P0019,S009,8,233.31,0.1,1866.48,1679.83,UPI,Online,Completed,Returning
INV200074,31/12/2025,C0020,P0005,S002,5,9739.67,0.0,48698.35,48698.35,Cash,Distributor,Completed,Returning
INV200075,02/04/2025,C0040,P0012,S004,1,18242.19,0.05,18242.19,17330.08,Bank Transfer,Distributor,Completed,Returning
INV200076,16/09/2025,C0015,P0026,S003,3,319.86,0.0,959.58,959.58,UPI,Online,Cancelled,Repeat
INV200077,21/10/2025,C0072,P0030,S004,8,2028.92,0.0,16231.36,16231.36,UPI,Online,Cancelled,New
INV200078,04/02/2025,C0097,P0009,S001,5,5381.78,0.1,26908.9,24218.01,Cash,Distributor,Returned,Returning
INV200079,05/10/2025,C0104,P0030,S009,6,1987.23,0.15,11923.38,10134.87,Cash,Retail Store,Cancelled,Repeat
