Invoice Number,Field_1,Vendor,Pin code,Field_2,Invoice Date,Field_3,Tax(18%),Field_4,Total Price,Field_5,Total Amount,Field_6,Sum,Field_7,SUMIF
INV-41957,,Vendor,33600,,8-Apr-24,,5694,,25941,,31635,,31635,,0
INV-57631,,Vendor,47569,,14-Apr-24,,1505,,6854,,8359,,8359,,
INV-22433,,Vendor,61796,,4-May-24,,13664,,62247,,75911,,75911,,
INV-22709,,Vendor,93694,,16-Apr-24,,9748,,44408,,54157,,54157,,
INV-21860,,Vendor,59640,,22-Apr-24,,12036,,54830,,66866,,66866,,
INV-94395,,Vendor,60898,,30-Apr-24,,6555,,29860,,36414,,36414,,
INV-96666,,Vendor,86073,,3-May-24,,934,,4253,,5186,,5186,,
INV-70601,,Vendor,21985,,23-Apr-24,,8172,,37229,,45401,,45401,,
INV-86808,,Vendor,95378,,10-Apr-24,,17292,,78775,,96067,,96067,,
INV-49547,,Vendor,70417,,2-May-24,,14437,,65768,,80205,,80205,,
INV-33116,,Vendor,65145,,1-May-24,,11825,,53869,,65693,,65693,,
INV-16533,,Vendor,32109,,21-Apr-24,,9914,,45162,,55076,,55076,,
INV-39074,,Vendor,31684,,20-Apr-24,,2006,,9140,,11146,,11146,,
INV-54598,,Vendor,85581,,26-Apr-24,,12935,,58926,,71861,,71861,,
INV-76961,,Vendor,87622,,7-Apr-24,,15687,,71463,,87151,,87151,,
INV-10352,,Vendor,99585,,19-Apr-24,,13434,,61197,,74631,,74631,,
INV-76430,,Vendor,53234,,1-May-24,,8182,,37274,,45456,,45456,,
INV-92150,,Vendor,22053,,13-Apr-24,,6115,,27857,,33972,,33972,,
INV-51789,,Vendor,51326,,13-Apr-24,,19,,87,,106,,106,,
INV-19791,,Vendor,36003,,22-Apr-24,,5752,,26205,,31957,,31957,,
INV-82424,,Vendor,94847,,17-Apr-24,,9845,,44851,,54696,,54696,,
INV-73270,,Vendor,97017,,2-May-24,,16348,,74474,,90822,,90822,,
INV-13369,,Vendor,53404,,20-Apr-24,,7440,,33893,,41333,,41333,,
INV-46091,,Vendor,72837,,18-Apr-24,,12375,,56374,,68748,,68748,,
INV-33037,,Vendor,60817,,21-Apr-24,,646,,2941,,3587,,3587,,
INV-28405,,Vendor,55350,,5-May-24,,10278,,46824,,57102,,57102,,
INV-11026,,Vendor,26879,,15-Apr-24,,7243,,32997,,40240,,40240,,
INV-49116,,Vendor,96093,,2-May-24,,15240,,69425,,84665,,84665,,
INV-35038,,Vendor,53057,,10-Apr-24,,5303,,24156,,29459,,29459,,
INV-30441,,Vendor,65482,,24-Apr-24,,16027,,73014,,89041,,89041,,
INV-53968,,Vendor,84268,,14-Apr-24,,10492,,47799,,58292,,58292,,
INV-92123,,Vendor,76313,,15-Apr-24,,5440,,24780,,30220,,30220,,
INV-41882,,Vendor,29415,,28-Apr-24,,13964,,63615,,77579,,77579,,
INV-30440,,Vendor,17217,,8-Apr-24,,17257,,78615,,95873,,95873,,
INV-93465,,Vendor,66377,,14-Apr-24,,12731,,57998,,70729,,70729,,
INV-47027,,Vendor,24397,,7-Apr-24,,7737,,35245,,42982,,42982,,
INV-34291,,Vendor,85074,,26-Apr-24,,11981,,54579,,66560,,66560,,
INV-99555,,Vendor,68597,,25-Apr-24,,8242,,37545,,45787,,45787,,
INV-10315,,Vendor,54263,,14-Apr-24,,15635,,71225,,86859,,86859,,
